id,basicwgt,statecensus,age,sex,race_ethnicity,educ,laborforce,industry,Occupation,educ_code
3.02E+12,,AZ,7,Male,White,,,,-1,NA
3.04E+12,3508.0259,AZ,47,Male,White,College,Employed-at work,Professional and business services,"Business Operations Specialists, All Other",4
3.04E+12,4261.3584,AZ,46,Female,White,Advanced,Employed-at work,Educational and health services,Personal Care Aides,5
3.04E+12,,AZ,6,Male,White,,,,-1,NA
3.04E+12,,AZ,9,Female,White,,,,-1,NA
3.04E+12,,AZ,15,Male,White,Less than high school,Not in labor force-other,,-1,1
3.04E+12,3747.1887,AZ,16,Male,White,Less than high school,Not in labor force-other,,-1,1
3.04E+12,3747.1887,AZ,16,Male,White,Less than high school,Not in labor force-other,,-1,1
1.12E+13,3112.0884,AZ,69,Female,Hispanic,Less than high school,Not in labor force-retired,,-1,1
1.13E+13,2984.9685,AZ,71,Female,White,Some college,Not in labor force-retired,,-1,3
1.13E+13,,AZ,28,Male,Hispanic,Some college,,,-1,3
1.13E+13,3138.6284,AZ,48,Female,White,High school,Not in labor force-other,Other services,Customer Service Representatives,2
1.23E+13,2695.7141,AZ,77,Female,White,College,Not in labor force-retired,,-1,4
1.23E+13,3013.9495,AZ,72,Male,White,Some college,Not in labor force-retired,,-1,3
1.55E+13,4045.6763,AZ,70,Male,Asian,Advanced,Employed-at work,Other services,First-Line Supervisors of Non-Retail Sales Workers,5
1.55E+13,3312.6362,AZ,46,Female,Asian,Some college,Not in labor force-other,,-1,3
1.55E+13,,AZ,9,Female,Asian,,,,-1,NA
1.55E+13,,AZ,12,Male,Asian,,,,-1,NA
1.61E+13,4509.79,AZ,54,Female,White,College,Employed-at work,Construction,Training and Development Managers,4
1.61E+13,4627.0562,AZ,53,Male,White,College,Employed-at work,Professional and business services,Accountants and Auditors,4
1.62E+13,,AZ,32,Male,Other,Some college,,,-1,3
1.62E+13,7604.1343,AZ,32,Female,Black,College,Not in labor force-other,,-1,4
1.64E+13,4632.5127,AZ,40,Male,Hispanic,Less than high school,Unemployed-looking,Leisure and hospitality,Cooks,1
1.64E+13,,AZ,14,Male,Hispanic,,,,-1,NA
1.64E+13,3123.4944,AZ,58,Male,Hispanic,High school,Employed-at work,Educational and health services,Maids and Housekeeping Cleaners,2
1.64E+13,4620.9658,AZ,36,Male,Hispanic,High school,Not in labor force-disabled,,-1,2
1.64E+13,3142.6133,AZ,57,Female,Hispanic,Less than high school,Employed-at work,Educational and health services,Home Health Aides,1
2.14E+13,4116.543,AZ,38,Female,White,Advanced,Employed-at work,Educational and health services,Elementary and Middle School Teachers,5
2.14E+13,4055.8921,AZ,32,Female,White,Some college,Not in labor force-other,,-1,3
2.22E+13,4368.4229,AZ,57,Male,White,College,Employed-at work,Transportation and utilities,Computer Systems Analysts,4
2.22E+13,3814.272,AZ,55,Female,White,College,Employed-at work,Educational and health services,Billing and Posting Clerks,4
2.22E+13,5069.5776,AZ,21,Female,White,Some college,Not in labor force-other,,-1,3
2.27E+13,4747.6235,AZ,25,Female,White,College,Employed-at work,Educational and health services,Medical and Health Services Managers,4
2.27E+13,4843.8945,AZ,24,Male,White,College,Unemployed-looking,Other services,Automotive Service Technicians and Mechanics,4
2.27E+13,,AZ,4,Female,Hispanic,,,,-1,NA
2.27E+13,,AZ,6,Male,Hispanic,,,,-1,NA
2.62E+13,3704.875,AZ,54,Female,White,College,Employed-at work,Professional and business services,"Personal Care and Service Workers, All Other",4
2.62E+13,3442.4734,AZ,54,Male,White,Advanced,Employed-at work,Manufacturing,Chief Executives,5
2.62E+13,4604.1621,AZ,19,Male,White,Some college,Employed-at work,Leisure and hospitality,Driver/Sales Workers and Truck Drivers,3
2.62E+13,3277.7849,AZ,57,Male,White,Some college,Employed-at work,Transportation and utilities,Couriers and Messengers,3
2.63E+13,4066.6277,AZ,61,Male,White,Some college,Not in labor force-retired,,-1,3
2.66E+13,3477.9697,AZ,49,Female,White,Some college,Employed-at work,Educational and health services,"Interviewers, Except Eligibility and Loan",3
2.66E+13,,AZ,15,Male,White,Less than high school,Not in labor force-other,,-1,1
2.78E+13,3777.115,AZ,51,Female,Hispanic,Some college,Employed-at work,Construction,"Bookkeeping, Accounting, and Auditing Clerks",3
2.78E+13,4595.6982,AZ,55,Male,Hispanic,Some college,Employed-at work,Wholesale and retail trade,Parts Salespersons,3
2.78E+13,,AZ,7,Female,Hispanic,,,,-1,NA
2.95E+13,5560.4966,AZ,25,Male,Hispanic,High school,Employed-at work,Transportation and utilities,Couriers and Messengers,2
2.95E+13,7194.6206,AZ,23,Female,Other,Some college,Employed-at work,Wholesale and retail trade,Cashiers,3
2.95E+13,,AZ,2,Female,Hispanic,,,,-1,NA
2.98E+13,3178.2312,AZ,68,Female,White,Some college,Employed-at work,Public administration,Registered Nurses,3
2.98E+13,3304.3208,AZ,60,Female,Hispanic,High school,Unemployed-looking,Wholesale and retail trade,Retail Salespersons,2
3.44E+13,3122.9795,AZ,66,Male,Hispanic,High school,Not in labor force-retired,,-1,2
4.27E+13,3729.1936,AZ,51,Female,White,Some college,Employed-at work,Educational and health services,Clinical Laboratory Technologists and Technicians,3
4.27E+13,3299.3003,AZ,55,Male,White,College,Employed-at work,Financial activities,Insurance Claims and Policy Processing Clerks,4
4.27E+13,3114.5645,AZ,60,Female,White,High school,Employed-at work,Educational and health services,Data Entry Keyers,2
4.27E+13,,AZ,4,Female,Hispanic,,,,-1,NA
4.27E+13,5025.7378,AZ,23,Female,White,High school,Employed-at work,Professional and business services,Maids and Housekeeping Cleaners,2
4.27E+13,4778.7866,AZ,26,Female,White,Less than high school,Employed-at work,Wholesale and retail trade,Customer Service Representatives,1
4.27E+13,4140.8516,AZ,31,Male,White,Less than high school,Not in labor force-disabled,,-1,1
4.27E+13,3068.0813,AZ,65,Male,White,Some college,Not in labor force-disabled,,-1,3
4.27E+13,3688.9739,AZ,43,Female,White,High school,Not in labor force-disabled,,-1,2
4.27E+13,5225.041,AZ,21,Male,Hispanic,Less than high school,Employed-at work,Manufacturing,"Laborers and Freight, Stock, and Material Movers, Hand",1
4.27E+13,5381.2949,AZ,23,Male,Black,High school,Employed-at work,Transportation and utilities,Couriers and Messengers,2
4.29E+13,5265.3691,AZ,35,Male,Hispanic,Some college,Employed-at work,Professional and business services,Paralegals and Legal Assistants,3
4.29E+13,4301.9648,AZ,56,Female,Hispanic,Some college,Employed-at work,Professional and business services,First-Line Supervisors of Office and Administrative Support Workers,3
4.29E+13,4318.3569,AZ,20,Male,Hispanic,High school,Unemployed-looking,Leisure and hospitality,Fast Food and Counter Workers,2
4.29E+13,4173.8677,AZ,29,Female,Hispanic,Some college,Employed-at work,Manufacturing,First-Line Supervisors of Office and Administrative Support Workers,3
4.29E+13,4489.1655,AZ,33,Male,Hispanic,High school,Employed-at work,Transportation and utilities,"Laborers and Freight, Stock, and Material Movers, Hand",2
4.29E+13,,AZ,4,Female,Hispanic,,,,-1,NA
4.41E+13,3904.7451,AZ,80,Female,White,High school,Not in labor force-retired,,-1,2
4.41E+13,3401.9199,AZ,54,Female,White,Some college,Employed-at work,Financial activities,Loan Interviewers and Clerks,3
4.66E+13,3763.5508,AZ,52,Female,White,Advanced,Not in labor force-retired,,-1,5
4.66E+13,3822.7656,AZ,53,Male,White,College,Employed-at work,Professional and business services,Chief Executives,4
4.69E+13,3126.8184,AZ,78,Female,White,Some college,Not in labor force-retired,,-1,3
4.71E+13,3100.8357,AZ,66,Male,White,College,Not in labor force-retired,,-1,4
5.10E+13,3568.7495,AZ,48,Male,White,Some college,Employed-at work,Transportation and utilities,"Computer Occupations, All Other",3
5.10E+13,4389.4878,AZ,22,Male,White,Some college,Not in labor force-other,,-1,3
5.17E+13,2776.5725,AZ,71,Female,White,Advanced,Not in labor force-retired,,-1,5
5.22E+13,4719.4404,AZ,38,Female,Hispanic,Some college,Employed-at work,Professional and business services,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3
5.22E+13,,AZ,15,Male,Hispanic,Less than high school,Not in labor force-other,,-1,1
5.22E+13,4332.8003,AZ,16,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
5.22E+13,4332.8003,AZ,17,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
5.25E+13,3603.8247,AZ,80,Female,White,High school,Not in labor force-retired,,-1,2
5.48E+13,4425.7007,AZ,62,Female,Hispanic,Some college,Not in labor force-disabled,,-1,3
5.48E+13,4787.3306,AZ,57,Male,Black,Less than high school,Not in labor force-disabled,,-1,1
5.48E+13,4523.3677,AZ,33,Female,Black,College,Not in labor force-disabled,,-1,4
5.60E+13,3719.1377,AZ,80,Male,White,Some college,Not in labor force-retired,,-1,3
5.62E+13,3430.7769,AZ,62,Male,White,High school,Employed-at work,Professional and business services,"Mail Clerks and Mail Machine Operators, Except Postal Service",2
5.71E+13,4073.6775,AZ,31,Female,Other,College,Unemployed-looking,Manufacturing,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4
5.71E+13,,AZ,15,Male,Other,High school,Unemployed-looking,Wholesale and retail trade,"Laborers and Freight, Stock, and Material Movers, Hand",2
5.71E+13,,AZ,15,Female,Other,High school,Unemployed-looking,Educational and health services,Childcare Workers,2
5.75E+13,3413.9265,AZ,64,Female,White,Some college,Employed-at work,Wholesale and retail trade,Stockers and Order Fillers,3
5.75E+13,4055.5801,AZ,33,Female,Hispanic,College,Employed-at work,Leisure and hospitality,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",4
5.75E+13,3469.7456,AZ,16,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
5.93E+13,5175.7764,AZ,36,Male,Hispanic,Some college,Employed-at work,Other services,Automotive Body and Related Repairers,3
5.94E+13,3932.4358,AZ,49,Male,Hispanic,College,Employed-at work,Information,Marketing Managers,4
6.70E+13,3655.855,AZ,78,Male,White,College,Not in labor force-retired,,-1,4
6.70E+13,4237.208,AZ,60,Male,White,High school,Employed-at work,Financial activities,Other Production Workers,2
7.14E+13,4119.9092,AZ,63,Male,White,Some college,Employed-at work,Manufacturing,Software Developers,3
7.14E+13,3856.0068,AZ,59,Female,White,Some college,Not in labor force-retired,,-1,3
7.15E+13,4125.7822,AZ,33,Female,Hispanic,Less than high school,Employed-at work,Professional and business services,Janitors and Building Cleaners,1
7.15E+13,,AZ,7,Female,Hispanic,,,,-1,NA
7.15E+13,,AZ,9,Male,Hispanic,,,,-1,NA
7.15E+13,,AZ,11,Male,Hispanic,,,,-1,NA
7.15E+13,,AZ,15,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
7.15E+13,4123.9565,AZ,52,Female,Hispanic,Less than high school,Employed-at work,Other services,Maids and Housekeeping Cleaners,1
7.91E+13,3089.9326,AZ,69,Female,White,Advanced,Not in labor force-retired,,-1,5
7.91E+13,3019.4297,AZ,70,Male,White,College,Not in labor force-retired,,-1,4
8.11E+13,4376.1528,AZ,33,Male,Hispanic,High school,Employed-at work,Construction,Carpenters,2
8.11E+13,4021.9172,AZ,33,Female,Hispanic,High school,Employed-at work,Construction,"Office Clerks, General",2
8.11E+13,,AZ,2,Male,Hispanic,,,,-1,NA
8.30E+13,3674.123,AZ,50,Female,White,Some college,Employed-at work,Educational and health services,Compensation and Benefits Managers,3
8.30E+13,4940.3862,AZ,21,Female,Hispanic,Some college,Employed-at work,Educational and health services,Personal Care Aides,3
9.61E+13,4308.6851,AZ,32,Male,White,Some college,Employed-at work,Public administration,Police Officers,3
1.01E+14,4544.4668,AZ,32,Female,White,Some college,Employed-at work,Educational and health services,Childcare Workers,3
1.01E+14,8658.792,AZ,27,Male,Black,High school,Employed-at work,Professional and business services,Pest Control Workers,2
1.01E+14,4658.3008,AZ,28,Female,White,High school,Employed-at work,Public administration,Maids and Housekeeping Cleaners,2
1.01E+14,4980.3452,AZ,26,Male,White,High school,Employed-at work,Wholesale and retail trade,Bus and Truck Mechanics and Diesel Engine Specialists,2
1.04E+14,3352.1438,AZ,31,Female,White,Some college,Unemployed-looking,Professional and business services,Customer Service Representatives,3
1.04E+14,3565.7451,AZ,36,Male,White,Some college,Unemployed-looking,Professional and business services,"Laborers and Freight, Stock, and Material Movers, Hand",3
1.05E+14,3979.3369,AZ,73,Male,Hispanic,Less than high school,Employed-at work,Construction,Roofers,1
1.10E+14,4805.6001,AZ,48,Female,Hispanic,Less than high school,Employed-at work,Professional and business services,Janitors and Building Cleaners,1
1.10E+14,3940.6677,AZ,43,Male,Hispanic,High school,Employed-at work,Other services,First-Line Supervisors of Non-Retail Sales Workers,2
1.10E+14,,AZ,13,Male,Hispanic,,,,-1,NA
1.10E+14,5120.3779,AZ,24,Female,Hispanic,High school,Not in labor force-other,,-1,2
1.10E+14,4666.231,AZ,24,Male,Hispanic,High school,Employed-at work,Construction,"Helpers, Construction Trades",2
1.10E+14,4666.231,AZ,24,Male,Hispanic,High school,Employed-at work,Other services,Automotive Glass Installers and Repairers,2
1.10E+14,3704.875,AZ,50,Female,White,College,Employed-at work,Construction,"Office Clerks, General",4
1.10E+14,3442.4734,AZ,50,Male,White,Advanced,Employed-at work,Construction,Chief Executives,5
1.10E+14,5167.3691,AZ,22,Male,White,College,Employed-at work,Professional and business services,Paralegals and Legal Assistants,4
1.10E+14,3431.5706,AZ,65,Male,White,Some college,Not in labor force-retired,,-1,3
1.10E+14,4071.249,AZ,58,Female,White,Some college,Not in labor force-retired,,-1,3
1.11E+14,4739.27,AZ,67,Male,Black,Some college,Employed-at work,Educational and health services,Registered Nurses,3
1.11E+14,7397.4624,AZ,37,Male,Black,High school,Not in labor force-retired,,-1,2
1.11E+14,5136.8916,AZ,39,Female,Black,Advanced,Not in labor force-retired,,-1,5
1.11E+14,3100.8645,AZ,80,Female,White,College,Not in labor force-retired,,-1,4
1.12E+14,4507.7886,AZ,33,Male,White,Less than high school,Employed-at work,Manufacturing,"Managers, All Other",1
1.12E+14,4116.543,AZ,38,Female,White,High school,Employed-absent,Manufacturing,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2
1.12E+14,,AZ,1,Female,White,,,,-1,NA
1.12E+14,,AZ,3,Male,White,,,,-1,NA
1.12E+14,,AZ,11,Male,White,,,,-1,NA
1.12E+14,,AZ,12,Female,White,,,,-1,NA
1.12E+14,,AZ,13,Female,White,,,,-1,NA
1.12E+14,3539.4961,AZ,42,Female,Hispanic,High school,Employed-at work,Educational and health services,Teaching Assistants,2
1.12E+14,4132.7715,AZ,43,Male,Hispanic,College,Employed-at work,Wholesale and retail trade,Retail Salespersons,4
1.12E+14,3842.3025,AZ,16,Male,Hispanic,Less than high school,Not in labor force-other,,-1,1
1.12E+14,3433.0942,AZ,19,Female,Hispanic,High school,Not in labor force-other,,-1,2
1.12E+14,4382.5479,AZ,24,Male,Hispanic,Some college,Employed-at work,Public administration,Firefighters,3
1.12E+14,3132.0503,AZ,69,Male,White,Some college,Employed-at work,Transportation and utilities,Driver/Sales Workers and Truck Drivers,3
1.16E+14,2736.1194,AZ,76,Female,White,College,Not in labor force-retired,,-1,4
1.16E+14,4373.2671,AZ,33,Male,White,College,Employed-at work,Manufacturing,"Sales Representatives, Wholesale and Manufacturing",4
1.16E+14,3980.8115,AZ,42,Male,White,Advanced,Employed-at work,Financial activities,Data Entry Keyers,5
1.16E+14,6470.7739,AZ,32,Male,Black,High school,Employed-at work,Financial activities,"Property, Real Estate, and Community Association Managers",2
1.16E+14,2813.5444,AZ,80,Male,White,Some college,Not in labor force-retired,,-1,3
1.16E+14,2558.0134,AZ,69,Female,White,High school,Not in labor force-retired,,-1,2
1.22E+14,2934.178,AZ,71,Female,White,High school,Not in labor force-retired,,-1,2
1.22E+14,3088.1204,AZ,68,Male,Hispanic,High school,Employed-at work,Transportation and utilities,Security Guards and Gambling Surveillance Officers,2
1.27E+14,3132.0503,AZ,65,Male,White,Advanced,Employed-at work,Financial activities,Chief Executives,5
1.27E+14,3833.4419,AZ,37,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
1.27E+14,3940.6677,AZ,40,Male,Hispanic,Less than high school,Employed-at work,Other services,Cleaners of Vehicles and Equipment,1
1.27E+14,,AZ,8,Female,Hispanic,,,,-1,NA
1.27E+14,,AZ,10,Male,Hispanic,,,,-1,NA
1.27E+14,,AZ,12,Male,Hispanic,,,,-1,NA
1.27E+14,,AZ,15,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
1.27E+14,2844.3528,AZ,79,Female,White,Some college,Employed-at work,Professional and business services,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3
1.27E+14,4426.6099,AZ,32,Female,Hispanic,Some college,Employed-at work,Financial activities,First-Line Supervisors of Non-Retail Sales Workers,3
1.27E+14,,AZ,1,Female,Hispanic,,,,-1,NA
1.27E+14,,AZ,4,Male,Hispanic,,,,-1,NA
1.27E+14,,AZ,12,Male,Hispanic,,,,-1,NA
1.27E+14,4002.1504,AZ,18,Male,Hispanic,Less than high school,Not in labor force-other,,-1,1
1.27E+14,3398.2217,AZ,32,Female,White,High school,Employed-at work,Wholesale and retail trade,Project Management Specialists,2
1.27E+14,3398.2217,AZ,32,Female,White,Some college,Employed-at work,Wholesale and retail trade,General and Operations Managers,3
1.29E+14,3538.1731,AZ,49,Female,White,Some college,Employed-at work,Professional and business services,Computer and Information Systems Managers,3
1.29E+14,3502.0623,AZ,51,Male,White,College,Employed-at work,Financial activities,Real Estate Brokers and Sales Agents,4
1.29E+14,4140.6328,AZ,57,Female,White,Some college,Employed-at work,Professional and business services,First-Line Supervisors of Office and Administrative Support Workers,3
1.29E+14,3980.8115,AZ,42,Male,White,College,Employed-at work,Professional and business services,Tax Preparers,4
1.29E+14,3577.6255,AZ,41,Female,White,College,Not in labor force-other,,-1,4
1.29E+14,,AZ,8,Male,White,,,,-1,NA
1.29E+14,,AZ,11,Female,White,,,,-1,NA
1.29E+14,,AZ,11,Female,White,,,,-1,NA
1.29E+14,,AZ,13,Male,White,,,,-1,NA
1.35E+14,4332.2988,AZ,41,Female,Hispanic,Some college,Employed-at work,Professional and business services,Paralegals and Legal Assistants,3
1.35E+14,,AZ,8,Female,Hispanic,,,,-1,NA
1.35E+14,,AZ,15,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
1.37E+14,4761.2822,AZ,36,Female,Hispanic,College,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,4
1.37E+14,4784.895,AZ,37,Male,Hispanic,Some college,Employed-at work,Construction,"Plumbers, Pipefitters, and Steamfitters",3
1.37E+14,,AZ,1,Male,Hispanic,,,,-1,NA
1.37E+14,,AZ,5,Female,Hispanic,,,,-1,NA
1.40E+14,4097.4824,AZ,55,Female,Asian,College,Employed-at work,Educational and health services,Registered Nurses,4
1.40E+14,3334.5232,AZ,57,Male,White,College,Employed-at work,Wholesale and retail trade,Retail Salespersons,4
1.40E+14,4627.6172,AZ,38,Male,Hispanic,Some college,Employed-at work,Construction,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3
1.40E+14,3833.4419,AZ,38,Female,Hispanic,College,Not in labor force-other,,-1,4
1.40E+14,,AZ,0,Female,Hispanic,,,,-1,NA
1.40E+14,,AZ,2,Male,Hispanic,,,,-1,NA
1.40E+14,,AZ,4,Male,Hispanic,,,,-1,NA
1.41E+14,4310.5542,AZ,60,Male,White,College,Employed-at work,Public administration,Software Developers,4
1.41E+14,3355.9246,AZ,62,Male,White,High school,Not in labor force-retired,,-1,2
1.41E+14,2834.9958,AZ,75,Male,White,College,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,4
1.41E+14,3554.1628,AZ,78,Male,White,College,Not in labor force-retired,,-1,4
1.41E+14,3627.48,AZ,79,Female,White,Some college,Not in labor force-retired,,-1,3
1.41E+14,4322.7954,AZ,39,Male,White,Advanced,Employed-at work,Educational and health services,Physical Therapists,5
1.41E+14,4435.4912,AZ,36,Female,White,Advanced,Employed-at work,Educational and health services,"Managers, All Other",5
1.41E+14,4905.1431,AZ,40,Male,Hispanic,College,Employed-absent,Construction,Construction Laborers,4
1.41E+14,4220.5439,AZ,40,Female,Hispanic,Some college,Not in labor force-other,,-1,3
1.41E+14,,AZ,1,Female,Hispanic,,,,-1,NA
1.41E+14,,AZ,6,Female,Hispanic,,,,-1,NA
1.41E+14,4248.6333,AZ,17,Male,Hispanic,Less than high school,Not in labor force-other,,-1,1
1.41E+14,6086.0532,AZ,20,Female,Hispanic,High school,Not in labor force-other,,-1,2
